number_1,number_2,full_cond,accuracy,ablated_unit,diff_from_full
singular,plural,singular_plural,0.9533333333333334,457.0,-0.0033333333333334103
plural,singular,plural_singular,0.9133333333333332,457.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,457.0,0.0
singular,singular,singular_singular,1.0,610.0,0.0
singular,plural,singular_plural,0.9566666666666668,610.0,0.0
plural,singular,plural_singular,0.9133333333333332,610.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,610.0,0.0
singular,singular,singular_singular,1.0,377.0,0.0
singular,plural,singular_plural,0.9516666666666668,377.0,-0.0050000000000000044
plural,singular,plural_singular,0.915,377.0,0.0033333333333334103
plural,plural,plural_plural,0.9983333333333332,377.0,0.0
singular,singular,singular_singular,1.0,313.0,0.0
singular,plural,singular_plural,0.9566666666666668,313.0,0.0
plural,singular,plural_singular,0.9133333333333332,313.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,313.0,0.0
singular,singular,singular_singular,1.0,710.0,0.0
singular,plural,singular_plural,0.9566666666666668,710.0,0.0
plural,singular,plural_singular,0.9133333333333332,710.0,0.0016666666666665941
plural,plural,plural_plural,0.9966666666666668,710.0,-0.001666666666666372
singular,singular,singular_singular,1.0,622.0,0.0
singular,plural,singular_plural,0.9566666666666668,622.0,0.0
plural,singular,plural_singular,0.9133333333333332,622.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,622.0,0.0
singular,singular,singular_singular,1.0,969.0,0.0
singular,plural,singular_plural,0.96,969.0,0.0033333333333331883
plural,singular,plural_singular,0.9116666666666666,969.0,0.0
plural,plural,plural_plural,0.9983333333333332,969.0,0.0
singular,singular,singular_singular,1.0,1154.0,0.0
singular,plural,singular_plural,0.9433333333333334,1154.0,-0.01333333333333342
plural,singular,plural_singular,0.9116666666666666,1154.0,0.0
plural,plural,plural_plural,0.9983333333333332,1154.0,0.0
singular,singular,singular_singular,1.0,868.0,0.0
singular,plural,singular_plural,0.9583333333333334,868.0,0.0016666666666665941
plural,singular,plural_singular,0.9116666666666666,868.0,0.0
plural,plural,plural_plural,0.995,868.0,-0.0033333333333331883
singular,singular,singular_singular,1.0,360.0,0.0
singular,plural,singular_plural,0.955,360.0,-0.0016666666666668162
plural,singular,plural_singular,0.9083333333333332,360.0,-0.0033333333333334103
plural,plural,plural_plural,0.9966666666666668,360.0,-0.001666666666666372
singular,singular,singular_singular,1.0,1027.0,0.0
singular,plural,singular_plural,0.9566666666666668,1027.0,0.0
plural,singular,plural_singular,0.9133333333333332,1027.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,1027.0,0.0
singular,singular,singular_singular,1.0,304.0,0.0
singular,plural,singular_plural,0.9566666666666668,304.0,0.0
plural,singular,plural_singular,0.91,304.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,304.0,0.0
singular,singular,singular_singular,1.0,513.0,0.0
singular,plural,singular_plural,0.955,513.0,-0.0016666666666668162
plural,singular,plural_singular,0.9166666666666666,513.0,0.0050000000000000044
plural,plural,plural_plural,0.9966666666666668,513.0,-0.001666666666666372
singular,singular,singular_singular,1.0,737.0,0.0
singular,plural,singular_plural,0.9533333333333334,737.0,-0.0033333333333334103
plural,singular,plural_singular,0.9133333333333332,737.0,0.0016666666666665941
plural,plural,plural_plural,0.9966666666666668,737.0,-0.001666666666666372
singular,singular,singular_singular,1.0,264.0,0.0
singular,plural,singular_plural,0.955,264.0,-0.0016666666666668162
plural,singular,plural_singular,0.9116666666666666,264.0,0.0
plural,plural,plural_plural,0.9983333333333332,264.0,0.0
singular,singular,singular_singular,1.0,68.0,0.0
singular,plural,singular_plural,0.9583333333333334,68.0,0.0016666666666665941
plural,singular,plural_singular,0.91,68.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,68.0,0.0
singular,singular,singular_singular,1.0,199.0,0.0
singular,plural,singular_plural,0.9566666666666668,199.0,0.0
plural,singular,plural_singular,0.9116666666666666,199.0,0.0
plural,plural,plural_plural,0.9983333333333332,199.0,0.0
singular,singular,singular_singular,1.0,764.0,0.0
singular,plural,singular_plural,0.9566666666666668,764.0,0.0
plural,singular,plural_singular,0.91,764.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,764.0,0.0
singular,singular,singular_singular,1.0,1068.0,0.0
singular,plural,singular_plural,0.9566666666666668,1068.0,0.0
plural,singular,plural_singular,0.91,1068.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,1068.0,0.0
singular,singular,singular_singular,1.0,596.0,0.0
singular,plural,singular_plural,0.9466666666666668,596.0,-0.010000000000000009
plural,singular,plural_singular,0.9183333333333332,596.0,0.006666666666666599
plural,plural,plural_plural,0.9983333333333332,596.0,0.0
singular,singular,singular_singular,1.0,24.0,0.0
singular,plural,singular_plural,0.9566666666666668,24.0,0.0
plural,singular,plural_singular,0.9116666666666666,24.0,0.0
plural,plural,plural_plural,0.9983333333333332,24.0,0.0
singular,singular,singular_singular,1.0,669.0,0.0
singular,plural,singular_plural,0.955,669.0,-0.0016666666666668162
plural,singular,plural_singular,0.9083333333333332,669.0,-0.0033333333333334103
plural,plural,plural_plural,0.9983333333333332,669.0,0.0
singular,singular,singular_singular,1.0,533.0,0.0
singular,plural,singular_plural,0.9566666666666668,533.0,0.0
plural,singular,plural_singular,0.91,533.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,533.0,0.0
singular,singular,singular_singular,1.0,916.0,0.0
singular,plural,singular_plural,0.9616666666666668,916.0,0.0050000000000000044
plural,singular,plural_singular,0.8966666666666666,916.0,-0.015000000000000013
plural,plural,plural_plural,0.995,916.0,-0.0033333333333331883
singular,singular,singular_singular,1.0,126.0,0.0
singular,plural,singular_plural,0.955,126.0,-0.0016666666666668162
plural,singular,plural_singular,0.9133333333333332,126.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,126.0,0.0
singular,singular,singular_singular,1.0,1269.0,0.0
singular,plural,singular_plural,0.9566666666666668,1269.0,0.0
plural,singular,plural_singular,0.9116666666666666,1269.0,0.0
plural,plural,plural_plural,0.9983333333333332,1269.0,0.0
singular,singular,singular_singular,1.0,937.0,0.0
singular,plural,singular_plural,0.955,937.0,-0.0016666666666668162
plural,singular,plural_singular,0.9166666666666666,937.0,0.0050000000000000044
plural,plural,plural_plural,0.9983333333333332,937.0,0.0
singular,singular,singular_singular,1.0,215.0,0.0
singular,plural,singular_plural,0.9566666666666668,215.0,0.0
plural,singular,plural_singular,0.9133333333333332,215.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,215.0,0.0
singular,singular,singular_singular,1.0,1274.0,0.0
singular,plural,singular_plural,0.9583333333333334,1274.0,0.0016666666666665941
plural,singular,plural_singular,0.905,1274.0,-0.006666666666666599
plural,plural,plural_plural,0.9983333333333332,1274.0,0.0
singular,singular,singular_singular,1.0,411.0,0.0
singular,plural,singular_plural,0.9566666666666668,411.0,0.0
plural,singular,plural_singular,0.9116666666666666,411.0,0.0
plural,plural,plural_plural,0.9983333333333332,411.0,0.0
singular,singular,singular_singular,1.0,834.0,0.0
singular,plural,singular_plural,0.955,834.0,-0.0016666666666668162
plural,singular,plural_singular,0.9066666666666666,834.0,-0.0050000000000000044
plural,plural,plural_plural,0.9983333333333332,834.0,0.0
singular,singular,singular_singular,1.0,154.0,0.0
singular,plural,singular_plural,0.9416666666666668,154.0,-0.015000000000000013
plural,singular,plural_singular,0.925,154.0,0.01333333333333342
plural,plural,plural_plural,0.9983333333333332,154.0,0.0
singular,singular,singular_singular,1.0,1049.0,0.0
singular,plural,singular_plural,0.95,1049.0,-0.006666666666666821
plural,singular,plural_singular,0.915,1049.0,0.0033333333333334103
plural,plural,plural_plural,0.9983333333333332,1049.0,0.0
singular,singular,singular_singular,1.0,944.0,0.0
singular,plural,singular_plural,0.9566666666666668,944.0,0.0
plural,singular,plural_singular,0.9116666666666666,944.0,0.0
plural,plural,plural_plural,0.9983333333333332,944.0,0.0
singular,singular,singular_singular,1.0,979.0,0.0
singular,plural,singular_plural,0.9583333333333334,979.0,0.0016666666666665941
plural,singular,plural_singular,0.9083333333333332,979.0,-0.0033333333333334103
plural,plural,plural_plural,0.9983333333333332,979.0,0.0
singular,singular,singular_singular,1.0,107.0,0.0
singular,plural,singular_plural,0.9566666666666668,107.0,0.0
plural,singular,plural_singular,0.9116666666666666,107.0,0.0
plural,plural,plural_plural,0.9983333333333332,107.0,0.0
singular,singular,singular_singular,1.0,255.0,0.0
singular,plural,singular_plural,0.955,255.0,-0.0016666666666668162
plural,singular,plural_singular,0.91,255.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,255.0,0.0
singular,singular,singular_singular,1.0,311.0,0.0
singular,plural,singular_plural,0.9583333333333334,311.0,0.0016666666666665941
plural,singular,plural_singular,0.9066666666666666,311.0,-0.0050000000000000044
plural,plural,plural_plural,0.9983333333333332,311.0,0.0
singular,singular,singular_singular,1.0,884.0,0.0
singular,plural,singular_plural,0.9583333333333334,884.0,0.0016666666666665941
plural,singular,plural_singular,0.91,884.0,-0.0016666666666665941
plural,plural,plural_plural,0.9966666666666668,884.0,-0.001666666666666372
singular,singular,singular_singular,1.0,1292.0,0.0
singular,plural,singular_plural,0.9533333333333334,1292.0,-0.0033333333333334103
plural,singular,plural_singular,0.9166666666666666,1292.0,0.0050000000000000044
plural,plural,plural_plural,0.9983333333333332,1292.0,0.0
singular,singular,singular_singular,1.0,490.0,0.0
singular,plural,singular_plural,0.9566666666666668,490.0,0.0
plural,singular,plural_singular,0.9133333333333332,490.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,490.0,0.0
singular,singular,singular_singular,1.0,872.0,0.0
singular,plural,singular_plural,0.9583333333333334,872.0,0.0016666666666665941
plural,singular,plural_singular,0.9066666666666666,872.0,-0.0050000000000000044
plural,plural,plural_plural,0.9966666666666668,872.0,-0.001666666666666372
singular,singular,singular_singular,1.0,569.0,0.0
singular,plural,singular_plural,0.955,569.0,-0.0016666666666668162
plural,singular,plural_singular,0.9116666666666666,569.0,0.0
plural,plural,plural_plural,0.9983333333333332,569.0,0.0
singular,singular,singular_singular,1.0,483.0,0.0
singular,plural,singular_plural,0.9583333333333334,483.0,0.0016666666666665941
plural,singular,plural_singular,0.905,483.0,-0.006666666666666599
plural,plural,plural_plural,0.9983333333333332,483.0,0.0
singular,singular,singular_singular,1.0,1189.0,0.0
singular,plural,singular_plural,0.9516666666666668,1189.0,-0.0050000000000000044
plural,singular,plural_singular,0.915,1189.0,0.0033333333333334103
plural,plural,plural_plural,0.9983333333333332,1189.0,0.0
singular,singular,singular_singular,1.0,288.0,0.0
singular,plural,singular_plural,0.9566666666666668,288.0,0.0
plural,singular,plural_singular,0.91,288.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,288.0,0.0
singular,singular,singular_singular,1.0,865.0,0.0
singular,plural,singular_plural,0.9616666666666668,865.0,0.0050000000000000044
plural,singular,plural_singular,0.9016666666666666,865.0,-0.010000000000000009
plural,plural,plural_plural,0.995,865.0,-0.0033333333333331883
singular,singular,singular_singular,1.0,207.0,0.0
singular,plural,singular_plural,0.9583333333333334,207.0,0.0016666666666665941
plural,singular,plural_singular,0.9116666666666666,207.0,0.0
plural,plural,plural_plural,0.9983333333333332,207.0,0.0
singular,singular,singular_singular,1.0,159.0,0.0
singular,plural,singular_plural,0.9566666666666668,159.0,0.0
plural,singular,plural_singular,0.9133333333333332,159.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,159.0,0.0
singular,singular,singular_singular,1.0,1056.0,0.0
singular,plural,singular_plural,0.9533333333333334,1056.0,-0.0033333333333334103
plural,singular,plural_singular,0.9066666666666666,1056.0,-0.0050000000000000044
plural,plural,plural_plural,0.9966666666666668,1056.0,-0.001666666666666372
singular,singular,singular_singular,1.0,179.0,0.0
singular,plural,singular_plural,0.9583333333333334,179.0,0.0016666666666665941
plural,singular,plural_singular,0.9116666666666666,179.0,0.0
plural,plural,plural_plural,0.9983333333333332,179.0,0.0
singular,singular,singular_singular,1.0,84.0,0.0
singular,plural,singular_plural,0.9566666666666668,84.0,0.0
plural,singular,plural_singular,0.9116666666666666,84.0,0.0
plural,plural,plural_plural,0.9983333333333332,84.0,0.0
